symbol,price_source,status,last_close,daily_high,daily_low,daily_volume,daily_turnover,pivot_high,contractions_pct,volume_trend_ok,score,bars,note,score_delta
ACLS,yahoo,vcp,97.3499984741211,99.80999755859376,96.06999969482422,692100.0,67375933.94393921,86.22000122070312,20.01|5.06|3.51,True,5,260,perfect vcp setup,4.0
ELMD,yahoo,vcp,24.549999237060547,24.790000915527344,24.030000686645508,34800.0,854339.973449707,24.700000762939453,8.64|5.21|3.18,True,5,260,perfect vcp setup,4.0
EME,yahoo,vcp,732.8900146484375,747.530029296875,721.1799926757812,251300.0,184175260.6811523,723.3800048828125,10.38|4.73|1.86,True,5,260,perfect vcp setup,4.0
EQT,yahoo,vcp,67.55000305175781,68.23999786376953,67.27999877929688,5860500.0,395876792.88482666,64.63999938964844,5.16|3.45|1.73,True,5,260,perfect vcp setup,4.0
ESHA,yahoo,vcp,12.010000228881836,12.029999732971191,11.869999885559082,1300.0,15613.000297546389,12.050000190734863,3.35|1.74|0.5,True,5,260,perfect vcp setup,5.0
KW,yahoo,vcp,10.93000030517578,10.949999809265137,10.920000076293944,922400.0,10081832.28149414,10.869999885559082,1.1|0.82|0.18,True,5,260,perfect vcp setup,3.0
MLCO,yahoo,vcp,5.619999885559082,5.639999866485596,5.489999771118164,2888100.0,16231121.669483185,5.679999828338623,16.04|9.24|3.87,True,5,260,perfect vcp setup,5.0
PRU,yahoo,vcp,93.29000091552734,95.56999969482422,92.76000213623048,1845800.0,172194683.68988037,94.48999786376952,10.65|5.27|2.1,True,5,260,perfect vcp setup,5.0
SEMR,yahoo,vcp,11.93000030517578,11.9399995803833,11.93000030517578,534800.0,6380164.163208008,11.93000030517578,0.42|0.25|0.08,True,5,260,perfect vcp setup,4.0
WTTR,yahoo,vcp,15.609999656677246,15.729999542236328,15.484999656677246,1312900.0,20494368.549251556,14.029999732971191,11.66|2.82|1.14,True,5,260,perfect vcp setup,5.0
AAPL,yahoo,vcp,248.8000030517578,255.4900054931641,248.07000732421875,47842500.0,11903214146.003723,260.8299865722656,7.95|6.12|4.92,True,4,260,,4.0
BAP,yahoo,vcp,322.42999267578125,329.8900146484375,319.7699890136719,384300.0,123909846.18530272,334.5799865722656,12.11|8.52|3.87,True,4,260,,4.0
CHTR,yahoo,vcp,219.13999938964844,220.38999938964844,214.42999267578125,1291600.0,283041223.2116699,222.52000427246097,9.04|8.33|6.08,True,4,260,,4.0
CKX,yahoo,vcp,10.989999771118164,10.989999771118164,10.989999771118164,300.0,3296.999931335449,11.050000190734863,13.84|6.33|5.88,True,4,260,,4.0
CRTO,yahoo,vcp,17.18000030517578,17.44499969482422,16.985000610351562,218800.0,3758984.066772461,18.020000457763672,12.52|10.23|5.66,True,4,260,,4.0
CVSA,yahoo,vcp,114.61000061035156,116.30999755859376,113.0,296800.0,34016248.181152344,102.6999969482422,11.06|3.53|1.56,True,4,260,,0.0
EQNR,yahoo,vcp,41.529998779296875,41.56999969482422,40.959999084472656,8502700.0,353117120.62072754,32.06999969482422,3.86|3.57|3.39,True,4,260,,4.0
ESP,yahoo,vcp,56.220001220703125,57.0,55.279998779296875,9700.0,545334.0118408203,55.97999954223633,7.72|7.05|4.41,True,4,260,,3.0
FLEX,yahoo,vcp,64.80000305175781,65.69999694824219,63.83000183105469,2501400.0,162090727.633667,65.81999969482422,11.23|5.25|4.25,True,4,260,,3.0
FSEA,yahoo,vcp,12.720000267028809,12.859999656677246,12.710000038146973,1500.0,19080.000400543213,13.050000190734863,3.69|2.39|2.15,True,4,260,,4.0
